City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Esso,RU,2021-08-01 00:07:42,55.9333,158.7,287.96,50,75,4.54
104,Pevek,RU,2021-08-01 00:07:42,69.7008,170.3133,275.87,76,97,5.66
105,Sturgeon Bay,US,2021-08-01 00:07:43,44.8342,-87.377,297.14,73,90,2.57
106,Hokitika,NZ,2021-08-01 00:07:43,-42.7167,170.9667,285.75,82,100,2.37
107,Thompson,CA,2021-08-01 00:07:44,55.7435,-97.8558,295.41,46,93,3.26
108,Cabo San Lucas,MX,2021-08-01 00:03:59,22.8909,-109.9124,307.32,71,75,7.72
109,Roswell,US,2021-08-01 00:04:38,34.0232,-84.3616,303.66,75,75,2.57
110,Norton Shores,US,2021-08-01 00:07:44,43.1689,-86.2639,296.69,75,75,3.13
111,Hasaki,JP,2021-08-01 00:07:44,35.7333,140.8333,302.37,78,24,0.96
112,Adrar,MR,2021-08-01 00:07:45,20.5022,-10.0711,303.78,45,71,11.85
113,Vila Franca Do Campo,PT,2021-08-01 00:07:45,37.7167,-25.4333,294.38,90,56,2.29
114,Rocha,UY,2021-08-01 00:07:27,-34.4833,-54.3333,280.56,79,37,1.43
115,Tual,ID,2021-08-01 00:07:45,-5.6667,132.75,300.52,78,63,4.51
116,Rundu,NA,2021-08-01 00:07:46,-17.9333,19.7667,283.93,42,1,2.87
117,Harper,LR,2021-08-01 00:07:46,4.375,-7.7169,297.85,85,100,4.98
118,Geraldton,AU,2021-08-01 00:06:22,-28.7667,114.6,289.89,82,40,8.23
119,Baeza,ES,2021-08-01 00:07:47,37.9938,-3.471,293.3,38,69,0.53
120,Chokurdakh,RU,2021-08-01 00:07:47,70.6333,147.9167,279.15,72,100,8.54
121,Puerto Barrios,GT,2021-08-01 00:07:47,15.7167,-88.6,301.23,83,75,3.09
122,Dukat,RU,2021-08-01 00:07:48,62.55,155.55,280.42,88,81,6.09
123,Billings,US,2021-08-01 00:06:11,45.7833,-108.5007,310.02,16,40,5.66
124,Aktau,KZ,2021-08-01 00:07:48,43.65,51.2,296.47,39,45,3.68
125,Saskylakh,RU,2021-08-01 00:07:48,71.9167,114.0833,297.55,34,0,4.27
126,Beberibe,BR,2021-08-01 00:07:49,-4.1797,-38.1306,298.63,81,61,5.51
127,Puerto Ayacucho,VE,2021-08-01 00:07:49,5.6639,-67.6236,296.53,92,97,1.93
128,Chato,TZ,2021-08-01 00:07:50,-2.6378,31.7669,292.04,56,86,3.62
129,Korla,CN,2021-08-01 00:07:50,41.7597,86.1469,294.38,31,71,7.02
130,San Patricio,US,2021-08-01 00:07:51,28.017,-97.5169,306.55,60,66,7.18
131,Songadh,IN,2021-08-01 00:07:51,21.1667,73.5667,298.43,90,100,6.43
132,Fort Nelson,CA,2021-08-01 00:07:51,58.8053,-122.7002,305.55,23,0,1.36
133,Mucurapo,TT,2021-08-01 00:07:51,10.6667,-61.5333,300.38,88,17,3.84
134,San Lawrenz,MT,2021-08-01 00:07:52,36.0553,14.204,301.96,75,0,4.34
135,Huntington,US,2021-08-01 00:07:52,38.4193,-82.4452,297.11,91,75,0.0
136,Nanortalik,GL,2021-08-01 00:07:52,60.1432,-45.2371,281.84,82,91,5.0
137,Talnakh,RU,2021-08-01 00:07:53,69.4865,88.3972,285.83,78,37,4.31
138,Khasan,RU,2021-08-01 00:07:53,42.4308,130.6434,299.68,86,16,4.5
139,Port Blair,IN,2021-08-01 00:07:53,11.6667,92.75,300.84,82,100,8.09
140,Maragogi,BR,2021-08-01 00:07:54,-9.0122,-35.2225,297.22,83,35,6.1
141,Lima,PE,2021-08-01 00:07:54,-12.0432,-77.0282,289.29,85,90,3.6
142,Clearwater,US,2021-08-01 00:06:31,27.9659,-82.8001,304.22,72,40,2.24
143,Weligama,LK,2021-08-01 00:07:55,5.9667,80.4167,298.51,87,50,4.84
144,Marovoay,MG,2021-08-01 00:07:55,-16.1,46.6333,292.23,64,2,2.61
145,Mandan,US,2021-08-01 00:07:55,46.8267,-100.8896,304.14,30,1,5.14
146,Avarua,CK,2021-08-01 00:03:52,-21.2078,-159.775,298.18,69,40,5.14
147,Najran,SA,2021-08-01 00:07:56,17.4924,44.1277,299.89,52,65,3.78
148,Chuy,UY,2021-08-01 00:07:56,-33.6971,-53.4616,281.71,92,0,2.07
149,Plouzane,FR,2021-08-01 00:07:14,48.3833,-4.6167,287.33,94,0,2.06
150,Sobolevo,RU,2021-08-01 00:07:56,54.4299,31.8996,289.75,83,100,3.49
151,Saint George,US,2021-08-01 00:07:57,37.1041,-113.5841,303.48,48,1,6.69
152,Constitucion,CL,2021-08-01 00:07:57,-35.3333,-72.4167,284.41,79,37,2.89
153,Svolvaer,NO,2021-08-01 00:07:57,68.2342,14.5683,281.69,81,97,2.66
154,Dwarka,IN,2021-08-01 00:05:30,22.2394,68.9678,300.62,83,100,11.01
155,Cartagena Del Chaira,CO,2021-08-01 00:07:58,1.3349,-74.8429,294.26,94,96,1.09
156,Lasa,IT,2021-08-01 00:07:58,46.6166,10.7002,288.72,95,96,1.66
157,Hillsboro,US,2021-08-01 00:06:54,45.5229,-122.9898,304.25,45,1,1.34
158,Kuryk,KZ,2021-08-01 00:07:59,43.2,51.65,301.13,37,58,2.11
159,Ilulissat,GL,2021-08-01 00:05:35,69.2167,-51.1,286.16,50,48,4.12
160,Rio Casca,BR,2021-08-01 00:07:59,-20.2261,-42.6508,287.12,70,34,1.22
161,Zhangye,CN,2021-08-01 00:08:00,38.9342,100.4517,298.92,26,61,2.75
162,Mananara,MG,2021-08-01 00:08:00,-16.1667,49.7667,291.47,91,46,2.59
163,Hermanus,ZA,2021-08-01 00:08:00,-34.4187,19.2345,285.26,89,99,3.15
164,Xifeng,CN,2021-08-01 00:08:01,42.7372,124.7222,296.79,92,91,3.03
165,Faanui,PF,2021-08-01 00:08:01,-16.4833,-151.75,298.56,64,66,7.1
166,Egvekinot,RU,2021-08-01 00:08:01,66.3167,-179.1667,277.95,58,84,0.94
167,Honningsvag,NO,2021-08-01 00:08:02,70.9821,25.9704,280.82,85,100,4.26
168,Yar-Sale,RU,2021-08-01 00:08:02,66.8333,70.8333,281.37,86,26,3.39
169,Torata,PE,2021-08-01 00:08:02,-17.0769,-70.8433,287.28,38,26,0.48
170,Tasiilaq,GL,2021-08-01 00:08:03,65.6145,-37.6368,281.24,82,60,1.63
171,Moree,AU,2021-08-01 00:08:03,-29.4667,149.85,293.81,61,0,6.65
172,Rock Springs,US,2021-08-01 00:08:03,41.5875,-109.2029,297.72,46,20,1.79
173,Batticaloa,LK,2021-08-01 00:08:04,7.7102,81.6924,299.04,77,96,3.56
174,Severo-Kurilsk,RU,2021-08-01 00:08:04,50.6789,156.125,286.13,84,100,3.98
175,Gaoual,GN,2021-08-01 00:08:04,11.75,-13.2,296.13,97,99,1.65
176,Tougan,BF,2021-08-01 00:08:05,13.0667,-3.0667,298.83,73,98,3.35
177,Klaksvik,FO,2021-08-01 00:08:05,62.2266,-6.589,281.66,78,89,5.49
178,Dandong,CN,2021-08-01 00:05:32,40.1292,124.3947,299.28,83,39,3.16
179,Norman Wells,CA,2021-08-01 00:08:05,65.282,-126.8329,302.56,28,37,2.31
180,Tautira,PF,2021-08-01 00:08:06,-17.7333,-149.15,301.16,61,94,4.71
181,Bengkulu,ID,2021-08-01 00:07:05,-3.8004,102.2655,296.92,90,43,1.6
182,Saint-Philippe,RE,2021-08-01 00:08:06,-21.3585,55.7679,291.9,84,31,4.95
