City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Gubkinskiy,RU,64.434,76.5026,70.68,59,37,6.73,scattered clouds
167,Pundaguitan,PH,6.3711,126.1689,83.73,77,100,11.1,overcast clouds
168,Menongue,AO,-14.6585,17.691,81.0,11,0,6.29,clear sky
169,Mizdah,LY,31.4451,12.9801,104.97,7,12,9.06,few clouds
170,Kokopo,PG,-4.352,152.2633,76.44,89,83,9.19,light rain
171,Lorengau,PG,-2.0226,147.2712,79.84,82,34,5.48,scattered clouds
172,Erzin,TR,36.9559,36.2,90.12,62,1,7.02,clear sky
173,Caravelas,BR,-17.7125,-39.2481,73.65,71,100,10.85,overcast clouds
174,Vestmannaeyjar,IS,63.4427,-20.2734,59.99,82,40,5.75,scattered clouds
175,Orangeburg,US,33.4918,-80.8557,83.77,75,90,10.36,overcast clouds
176,Borgo San Dalmazzo,IT,44.333,7.4858,81.09,32,56,6.06,broken clouds
177,Torbay,CA,47.6666,-52.7314,75.76,42,33,5.86,scattered clouds
178,Nyrob,RU,60.733,56.7202,60.46,79,100,7.31,overcast clouds
179,Tucurui,BR,-3.7661,-49.6725,94.71,30,12,5.88,few clouds
180,Sri Aman,MY,1.2376,111.4621,73.2,93,99,2.8,overcast clouds
181,Hualmay,PE,-11.0964,-77.6139,66.79,77,66,9.66,broken clouds
182,Varkaus,FI,62.3153,27.873,66.31,47,81,2.75,broken clouds
183,Praya,CV,14.9215,-23.5087,86.54,70,40,11.5,scattered clouds
184,Kodiak,US,57.79,-152.4072,54.91,88,90,3.44,overcast clouds
185,Oranjemund,NA,-28.55,16.4333,58.41,72,15,10.07,few clouds
186,Sao Filipe,CV,14.8961,-24.4956,78.91,86,99,6.06,overcast clouds
187,Lom Sak,TH,16.7798,101.2422,75.6,93,100,4.18,overcast clouds
188,Saskylakh,RU,71.9167,114.0833,53.17,65,17,8.9,few clouds
189,Prince George,CA,53.9166,-122.753,71.26,71,11,1.01,few clouds
190,Santa Rosalia,MX,27.3167,-112.2833,85.53,65,96,5.5,overcast clouds
191,Usinsk,RU,65.9939,57.5281,61.43,76,100,4.29,overcast clouds
192,Charagua,BO,-19.8,-63.2167,72.97,25,82,7.96,broken clouds
193,La Ronge,CA,55.1001,-105.2842,61.72,55,69,4.63,broken clouds
194,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,81,0,8.95,clear sky
195,Saldanha,ZA,-33.0117,17.9442,57.09,89,37,4.88,scattered clouds
196,Manavalakurichi,IN,8.1333,77.3,80.69,76,100,16.67,overcast clouds
197,Port Moresby,PG,-9.4431,147.1797,72.55,86,100,10.89,overcast clouds
198,Hithadhoo,MV,-0.6,73.0833,81.55,78,100,8.12,overcast clouds
199,Tucuman,AR,-26.8241,-65.2226,66.2,39,0,5.75,smoke
200,Walvis Bay,NA,-22.9575,14.5053,57.09,59,21,13.38,few clouds
201,Vila Velha,BR,-20.3297,-40.2925,71.55,78,75,4.61,broken clouds
202,Chumphon,TH,10.3333,98.8333,74.16,91,100,6.85,overcast clouds
203,Buala,SB,-8.145,159.5921,77.83,82,84,4.92,broken clouds
204,Sergeyevka,KZ,53.88,67.4158,68.59,70,56,7.94,light rain
205,Margate,GB,51.3813,1.3862,69.31,66,57,3.0,light rain
206,Awjilah,LY,29.1081,21.2869,107.73,9,0,12.97,clear sky
207,Kruisfontein,ZA,-34.0033,24.7314,60.89,95,98,6.76,light rain
208,San Cristobal,VE,7.7669,-72.225,74.88,66,71,7.65,broken clouds
209,Portsmouth,GB,50.799,-1.0913,64.11,92,100,10.0,overcast clouds
210,Yulara,AU,-25.2406,130.9889,47.73,54,0,9.26,clear sky
211,Krasnoselkup,RU,65.7,82.4667,68.59,60,67,8.99,broken clouds
212,Chilca,PE,-12.5211,-76.7372,66.36,81,82,7.63,broken clouds
213,Sinaloa,MX,25.0,-107.5,85.1,72,96,3.0,overcast clouds
214,Mutis,CO,6.2262,-77.4044,82.6,78,65,3.87,light rain
215,Maumere,ID,-8.6199,122.2111,77.45,75,81,1.97,broken clouds
216,Upernavik,GL,72.7868,-56.1549,45.48,66,12,1.72,few clouds
217,Port Macquarie,AU,-31.4333,152.9167,46.89,74,3,10.02,clear sky
218,Zhangjiakou,CN,40.81,114.8794,66.76,61,7,3.09,clear sky
219,Namatanai,PG,-3.6667,152.4333,78.6,85,71,6.33,light rain
220,Dawson Creek,CA,55.7666,-120.2362,69.75,57,24,3.78,few clouds
221,San Andres,CO,12.5847,-81.7006,82.15,80,77,14.43,broken clouds
222,Mahebourg,MU,-20.4081,57.7,69.26,68,88,15.14,overcast clouds
223,Ahipara,NZ,-35.1667,173.1667,55.29,86,58,14.85,light rain
224,Myrtle Beach,US,33.6891,-78.8867,79.05,80,90,4.61,overcast clouds
225,Port Lincoln,AU,-34.7333,135.8667,55.24,74,100,9.15,overcast clouds
226,Thompson,CA,55.7435,-97.8558,62.22,33,65,3.6,broken clouds
227,Nyurba,RU,63.2842,118.3319,57.83,46,4,6.06,clear sky
228,Dohar,BD,23.5883,90.1469,82.38,83,86,7.63,heavy intensity rain
229,Haines Junction,CA,60.7522,-137.5108,62.15,75,87,2.33,overcast clouds
230,Sorland,NO,67.667,12.6934,55.26,91,98,16.64,overcast clouds
231,Lata,PT,40.1629,-8.3327,87.04,55,2,11.59,clear sky
232,Havoysund,NO,70.9963,24.6622,55.63,95,99,14.27,overcast clouds
233,Moerai,PF,-22.4333,-151.3333,73.15,73,6,8.57,clear sky
234,Takoradi,GH,4.8845,-1.7554,79.75,73,86,12.46,overcast clouds
235,Jand,PK,33.4299,72.0193,96.87,43,2,2.64,clear sky
236,Puerto Ayacucho,VE,5.6639,-67.6236,79.16,80,84,4.72,broken clouds
237,Nishihara,JP,26.1842,127.7558,80.26,89,20,20.71,few clouds
238,Carnarvon,AU,-24.8667,113.6333,65.17,35,0,14.2,clear sky
239,Koumac,NC,-20.5667,164.2833,67.64,73,72,11.61,broken clouds
240,Luderitz,NA,-26.6481,15.1594,60.78,67,62,3.94,broken clouds
241,Carutapera,BR,-1.195,-46.02,89.31,51,41,7.05,scattered clouds
242,Ferme-Neuve,CA,46.7001,-75.4493,79.11,46,0,5.91,clear sky
243,Quatre Cocos,MU,-20.2078,57.7625,69.1,70,95,15.28,overcast clouds
244,Barcelona,ES,41.3888,2.159,96.35,73,20,5.01,few clouds
245,Limbe,CM,4.0242,9.2149,78.49,82,45,12.01,light rain
246,Bilma,NE,18.6853,12.9164,105.87,13,4,6.69,clear sky
247,Porto Novo,BJ,6.4965,2.6036,73.45,92,100,6.35,light rain
248,Angoche,MZ,-16.2325,39.9086,73.99,70,44,6.82,scattered clouds
249,Sao Desiderio,BR,-12.3633,-44.9733,86.94,24,91,8.39,overcast clouds
250,Eyl,SO,7.9803,49.8164,78.03,76,64,31.21,broken clouds
251,Gat,IL,31.61,34.7642,94.41,29,0,8.93,clear sky
