City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Tateyama,JP,80.62,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
385,Carmen,MX,84.24,broken clouds,18.6333,-91.8333,Hotel Lossandes
387,Manado,ID,79.57,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
388,Kieta,PG,77.85,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
389,Vung Tau,VN,82.04,overcast clouds,10.345999999999998,107.0843,Green hotel
391,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
392,Albertville,US,82.65,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
394,Santa Isabel Do Rio Negro,BR,87.6,broken clouds,-0.4139,-65.0192,Hotel GSA
395,Shingu,JP,79.92,broken clouds,33.7333,135.9833,Shingu UI Hotel
400,Nagato,JP,78.21,clear sky,34.3833,131.2,いそう庵
402,Aztec,US,80.31,clear sky,36.8222,-107.9929,Presidential Inn & Suites
408,Englewood,US,82.71,clear sky,39.6478,-104.9878,Holiday Motel
411,Villa Bruzual,VE,81.43,broken clouds,9.3328,-69.1208,Edificio Guarente
413,Wenzhou,CN,77.94,moderate rain,27.9994,120.6668,温州喜来登酒店
419,Weatherford,US,86.94,clear sky,32.7593,-97.7972,"Candlewood Suites Weatherford, an IHG Hotel"
420,Seoul,KR,80.11,clear sky,37.5683,126.9778,롯데호텔 서울
424,Lewisporte,CA,82.13,broken clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
433,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
434,Maragogi,BR,76.78,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
436,Sao Jose Da Coroa Grande,BR,76.59,light rain,-8.8978,-35.1478,Crôa Mares Hotel
438,San Policarpo,PH,80.44,overcast clouds,12.1791,125.5072,JM Lodge
439,Nuevitas,CU,87.24,clear sky,21.5453,-77.2644,Hotel Caonaba
446,Point Pedro,LK,82.31,light rain,9.8167,80.2333,Gtr homes
448,Bonthe,SL,75.24,light rain,7.5264,-12.505,Bonthe Holiday Village
450,Kalmunai,LK,83.32,overcast clouds,7.4167,81.8167,VS Villa
454,Lukulu,ZM,75.7,clear sky,-14.3707,23.241999999999997,Ruth Guest House
456,Pocosol,CR,88.7,broken clouds,10.3667,-84.6167,"Heliconias Nature Lodge, Arenal Volcano, Costa Rica"
458,Ugoofaaru,MV,83.23,overcast clouds,5.6667,73.0,Ungoofaaru Inn
462,Luena,AO,78.21,clear sky,-11.7833,19.9167,Hotel Kandamba
463,Zambezi,ZM,76.77,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
464,Billings,US,77.36,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
466,Salalah,OM,76.37,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
467,Shenjiamen,CN,79.56,scattered clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
468,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
470,Hongjiang,CN,78.76,few clouds,27.11,109.9956,洪江大酒店
471,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
472,Benicarlo,ES,89.91,scattered clouds,40.4165,0.4271,El Pinche De Oro
476,Cosala,MX,84.11,broken clouds,24.4125,-106.6908,Hotel Real del Conde
478,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
482,Peque,CO,82.51,few clouds,7.0212,-75.9093,Hotel Rodizzio
484,Dulce Nombre De Culmi,HN,86.23,few clouds,15.1,-85.5333,Hotel Posada Real
485,Mumford,GH,78.91,broken clouds,5.2618,-0.759,Spanish Villa
490,Harper,LR,79.99,broken clouds,4.375,-7.7169,Screensaver
491,Sidi Ali,DZ,86.59,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
496,Simpang,ID,76.21,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
499,Mangit,UZ,88.43,scattered clouds,40.5971,70.9607,Dangara Hotel
502,Hachinohe,JP,76.82,scattered clouds,40.5,141.5,Hachinohe Grand Hotel
503,Hefei,CN,77.29,scattered clouds,31.8639,117.2808,Jinhuan Hotel
505,Todos Santos,MX,88.11,broken clouds,23.45,-110.2167,Hotel California Todos Santos
506,Velyka Bahachka,UA,76.33,overcast clouds,49.7912,33.7226,"Ooo Sanatoriy ""Psʹol"""
